epoch,train_loss,val_loss,val_acc,val_macro_f1
1,1.961993,1.361799,0.333333,0.166667
2,1.334911,1.855204,0.333333,0.190476
3,1.379105,1.839740,0.333333,0.266667
4,1.206078,1.799769,0.333333,0.166667
5,1.190990,1.912314,0.166667,0.095238
6,0.900966,1.304534,0.333333,0.166667
7,0.731275,3.655083,0.166667,0.095238
8,0.692133,1.622527,0.333333,0.166667
9,0.505910,3.303169,0.166667,0.095238
10,0.465782,4.659116,0.333333,0.190476
11,0.399403,2.987182,0.333333,0.190476
12,0.412521,5.217343,0.166667,0.095238
13,0.427442,1.878497,0.333333,0.166667
14,0.470064,3.356820,0.333333,0.166667
15,0.429331,2.062723,0.333333,0.222222
16,0.344987,2.276015,0.333333,0.266667
17,0.382860,10.403358,0.333333,0.166667
18,0.404087,4.387806,0.333333,0.166667
19,0.410144,1.705841,0.500000,0.433333
20,0.304325,1.612681,0.333333,0.333333
21,0.425542,2.071794,0.166667,0.166667
22,0.317169,2.809175,0.000000,0.000000
23,0.264158,3.183838,0.000000,0.000000
24,0.399678,3.619312,0.000000,0.000000
25,0.312104,4.320375,0.166667,0.095238
26,0.308760,4.497664,0.166667,0.095238
27,0.252893,2.933420,0.166667,0.166667
28,0.285563,1.546129,0.333333,0.222222
29,0.223991,2.486986,0.000000,0.000000
30,0.212011,1.421816,0.500000,0.388889
31,0.216011,1.584228,0.333333,0.222222
32,0.192577,2.504749,0.166667,0.166667
33,0.237714,2.512458,0.166667,0.166667
34,0.172408,2.563931,0.166667,0.166667
35,0.163974,2.156368,0.166667,0.166667
36,0.146468,2.020728,0.333333,0.300000
37,0.141087,2.110244,0.166667,0.166667
38,0.128443,2.177992,0.333333,0.300000
39,0.129584,2.213752,0.333333,0.300000
40,0.124729,2.273589,0.333333,0.333333
41,0.116815,2.300813,0.333333,0.333333
42,0.110995,2.318597,0.333333,0.333333
43,0.107582,2.328382,0.166667,0.166667
44,0.107084,2.410769,0.166667,0.166667
45,0.104248,2.402900,0.166667,0.166667
46,0.100154,2.411771,0.166667,0.166667
47,0.096823,2.437058,0.166667,0.166667
48,0.093399,2.408565,0.333333,0.333333
49,0.088235,2.446242,0.333333,0.333333
50,0.091298,2.481672,0.333333,0.333333
