epoch,train_loss,val_loss,val_acc,val_macro_f1
1,1.802764,1.328786,0.333333,0.166667
2,1.626223,1.275982,0.500000,0.412698
3,1.267776,1.242069,0.333333,0.166667
4,1.344121,1.221455,0.333333,0.333333
5,1.217698,1.220522,0.333333,0.166667
6,1.294415,1.221969,0.333333,0.166667
7,1.195099,1.231271,0.333333,0.266667
8,1.190165,1.239997,0.166667,0.095238
9,1.168286,1.236951,0.333333,0.333333
10,1.160917,1.816212,0.333333,0.300000
11,1.173678,1.821558,0.333333,0.266667
12,1.218081,1.803518,0.333333,0.300000
13,1.102589,1.811905,0.333333,0.266667
14,1.066572,1.807523,0.333333,0.266667
15,1.044397,1.823575,0.166667,0.133333
16,1.007572,1.905242,0.333333,0.266667
17,0.940653,1.964390,0.333333,0.300000
18,0.852382,2.056201,0.333333,0.300000
19,0.820517,2.190194,0.333333,0.300000
20,0.728240,2.241777,0.333333,0.300000
21,0.660985,2.349197,0.500000,0.522222
22,0.582720,2.546698,0.500000,0.500000
23,0.465915,2.906960,0.500000,0.500000
24,0.384105,2.925916,0.500000,0.500000
25,0.383507,2.965132,0.500000,0.500000
26,0.312952,3.208945,0.500000,0.500000
27,0.285073,3.416304,0.500000,0.500000
28,0.243795,3.520544,0.500000,0.500000
29,0.229180,3.636991,0.500000,0.500000
30,0.211600,3.492455,0.500000,0.500000
31,0.196569,3.509374,0.500000,0.500000
32,0.183200,3.645944,0.500000,0.500000
33,0.175232,3.695618,0.500000,0.500000
34,0.169275,3.864913,0.500000,0.500000
35,0.160511,3.942180,0.500000,0.500000
36,0.152651,3.936855,0.500000,0.500000
37,0.146077,3.892308,0.500000,0.500000
38,0.135896,3.905644,0.500000,0.500000
39,0.135192,3.924160,0.500000,0.500000
40,0.129742,3.838917,0.500000,0.500000
41,0.124772,3.851104,0.500000,0.500000
42,0.117516,3.895443,0.500000,0.500000
43,0.114607,4.002120,0.500000,0.500000
44,0.113442,1.824175,0.500000,0.500000
45,0.108099,1.743306,0.500000,0.500000
46,0.102497,1.817303,0.500000,0.500000
47,0.099377,1.846301,0.500000,0.500000
48,0.097584,1.742035,0.500000,0.500000
49,0.096160,1.734205,0.500000,0.522222
50,0.093754,1.874574,0.500000,0.500000
